NaN,NaN,NaN,9.72,NaN,NaN
NaN,NaN,2.987,NaN,NaN,NaN
NaN,NaN,2.975,NaN,NaN,NaN
NaN,NaN,2.602,NaN,NaN,NaN
NaN,NaN,2.839,NaN,NaN,NaN
NaN,NaN,3.155,NaN,NaN,NaN
NaN,NaN,2.81,NaN,NaN,NaN
NaN,NaN,2.796,NaN,NaN,NaN
NaN,NaN,4.734,NaN,NaN,NaN
NaN,NaN,3.092,NaN,NaN,NaN
NaN,NaN,3.208,NaN,NaN,NaN
NaN,NaN,3.124,NaN,NaN,NaN
NaN,NaN,3,NaN,NaN,NaN
NaN,NaN,3.979,NaN,NaN,NaN
NaN,NaN,3.971,NaN,NaN,NaN
NaN,NaN,3.886,NaN,NaN,NaN
NaN,5.006,2.8,NaN,NaN,NaN
NaN,NaN,NaN,6.2,NaN,NaN
NaN,NaN,0.167,NaN,NaN,NaN
NaN,NaN,2.495,NaN,NaN,NaN
NaN,NaN,2.398,NaN,NaN,NaN
NaN,NaN,2.237,NaN,NaN,NaN
NaN,NaN,2.201,NaN,NaN,NaN
NaN,NaN,3.738,NaN,NaN,NaN
NaN,NaN,NaN,6.57,NaN,NaN
NaN,NaN,4.018,NaN,NaN,NaN
NaN,NaN,7.699,NaN,NaN,NaN
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,3.395,NaN,NaN,NaN
NaN,NaN,4.182,NaN,NaN,NaN
NaN,NaN,NaN,6.99,NaN,NaN
NaN,NaN,4.11,NaN,NaN,NaN
NaN,NaN,NaN,4.38,NaN,NaN
NaN,NaN,3.437,NaN,NaN,NaN
NaN,NaN,NaN,6.688,NaN,NaN
NaN,NaN,2.975,NaN,NaN,NaN
NaN,NaN,3.977,NaN,NaN,NaN
NaN,NaN,NaN,6.43,NaN,NaN
NaN,NaN,5.216,NaN,NaN,NaN
NaN,NaN,1.301,NaN,NaN,NaN
NaN,NaN,3.246,NaN,NaN,NaN
NaN,NaN,NaN,6.75,NaN,NaN
NaN,NaN,1.14,NaN,NaN,NaN
NaN,NaN,3.706,NaN,NaN,NaN
NaN,NaN,4.056,NaN,NaN,NaN
NaN,NaN,3.848,NaN,NaN,NaN
NaN,NaN,3.867,NaN,NaN,NaN
NaN,5.329,4.287,NaN,NaN,NaN
NaN,NaN,2.983,NaN,NaN,NaN
NaN,NaN,3.143,NaN,NaN,NaN
NaN,NaN,4.519,NaN,NaN,NaN
NaN,NaN,4.056,NaN,NaN,NaN
NaN,NaN,NaN,4.91,NaN,NaN
NaN,NaN,NaN,5.52,NaN,NaN
NaN,NaN,2.979,NaN,NaN,NaN
NaN,NaN,3.377,NaN,NaN,NaN
NaN,NaN,3.357,NaN,NaN,NaN
NaN,NaN,3.13,NaN,NaN,NaN
NaN,NaN,4.664,NaN,NaN,NaN
NaN,5.386,4.312,NaN,NaN,NaN
NaN,NaN,4.509,NaN,NaN,NaN
NaN,NaN,4.408,NaN,NaN,NaN
NaN,NaN,NaN,6.47,NaN,NaN
NaN,NaN,5.424,NaN,NaN,NaN
NaN,NaN,4.051,NaN,NaN,NaN
NaN,NaN,4.301,NaN,NaN,NaN
NaN,NaN,NaN,6.15,NaN,NaN
NaN,NaN,2.824,NaN,NaN,NaN
NaN,NaN,6.699,NaN,NaN,NaN
NaN,NaN,4.585,NaN,NaN,NaN
NaN,NaN,3.066,NaN,NaN,NaN
NaN,NaN,4.721,NaN,NaN,NaN
NaN,NaN,4.699,NaN,NaN,NaN
NaN,NaN,4.638,NaN,NaN,NaN
NaN,NaN,NaN,6.47,NaN,NaN
NaN,NaN,NaN,6.08,NaN,NaN
NaN,NaN,4.757,NaN,NaN,NaN
NaN,7.6,3,NaN,NaN,NaN
NaN,NaN,4.721,NaN,NaN,NaN
NaN,NaN,4.697,NaN,NaN,NaN
