NaN,NaN,NaN,33.3,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,33.4,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,35.4,NaN,NaN,NaN
NaN,NaN,35.4,NaN,NaN,NaN
NaN,NaN,36.9,NaN,NaN,NaN
NaN,NaN,30.2,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,36.5,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.3,NaN,NaN,NaN
NaN,NaN,33.5,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,59,33.6,NaN,NaN,NaN
NaN,NaN,NaN,40.1,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,28.2,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,26.5,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,25,NaN,NaN,NaN
NaN,NaN,32,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,NaN,24.4,NaN,NaN
NaN,NaN,24.7,NaN,NaN,NaN
NaN,NaN,NaN,31.8,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,37.2,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,35.4,NaN,NaN,NaN
NaN,NaN,36.9,NaN,NaN,NaN
NaN,50,25,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.3,NaN,NaN,NaN
NaN,NaN,36.5,NaN,NaN,NaN
NaN,NaN,NaN,30,NaN,NaN
NaN,NaN,NaN,40.1,NaN,NaN
NaN,NaN,28.2,NaN,NaN,NaN
NaN,NaN,28.2,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,26.5,NaN,NaN,NaN
NaN,47,23.5,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,27.1,NaN,NaN,NaN
NaN,NaN,NaN,34.9,NaN,NaN
NaN,NaN,29.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,34.3,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,34.4,NaN,NaN,NaN
NaN,NaN,NaN,30,NaN,NaN
NaN,NaN,NaN,40.1,NaN,NaN
NaN,NaN,24.7,NaN,NaN,NaN
NaN,50.7,27.6,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,32.3,NaN,NaN,NaN
NaN,NaN,31.3,NaN,NaN,NaN
NaN,NaN,42.4,NaN,NaN,NaN
NaN,NaN,42.7,NaN,NaN,NaN
NaN,52.4,24.6,NaN,NaN,NaN
53.7,36.7,19.2,NaN,NaN,NaN
NaN,NaN,32.2,34,NaN,NaN
NaN,NaN,33.9,NaN,NaN,NaN
NaN,NaN,NaN,44.3,NaN,NaN
NaN,NaN,NaN,21.1,42.1,63.2
NaN,NaN,NaN,33.5,NaN,NaN
NaN,NaN,NaN,76.2,NaN,NaN
NaN,39.5,22.6,NaN,NaN,NaN
NaN,NaN,NaN,34.1,NaN,NaN
NaN,NaN,NaN,24.8,NaN,NaN
NaN,NaN,NaN,23.8,NaN,NaN
NaN,NaN,NaN,28.4,NaN,NaN
NaN,NaN,NaN,25.1,NaN,NaN
NaN,NaN,NaN,21.4,NaN,NaN
NaN,NaN,NaN,22.4,NaN,NaN
NaN,NaN,NaN,30.1,NaN,NaN
NaN,NaN,NaN,25.5,NaN,NaN
NaN,NaN,NaN,26.3,NaN,NaN
NaN,NaN,NaN,32.6,NaN,NaN
NaN,NaN,NaN,30,NaN,NaN
NaN,NaN,26.9,26.9,53.3,NaN
NaN,70,35.2,NaN,NaN,NaN
NaN,51,25.5,NaN,NaN,NaN
NaN,NaN,31.6,30.6,NaN,NaN
NaN,55.3,30.1,26.5,NaN,NaN
NaN,NaN,26.7,NaN,NaN,NaN
NaN,45.9,22,NaN,NaN,NaN
NaN,NaN,30.8,38.5,NaN,NaN
NaN,NaN,NaN,23.2,NaN,NaN
NaN,NaN,NaN,33,66,NaN
NaN,NaN,38.7,NaN,NaN,NaN
NaN,NaN,33.6,NaN,NaN,NaN
NaN,NaN,NaN,34.7,NaN,NaN
NaN,NaN,25.8,NaN,NaN,NaN
NaN,NaN,NaN,24.6,NaN,NaN
NaN,NaN,NaN,23.3,46.6,NaN
NaN,NaN,NaN,26,NaN,NaN
NaN,NaN,57.8,NaN,NaN,NaN
NaN,NaN,40.6,NaN,NaN,NaN
NaN,NaN,NaN,21.2,NaN,NaN
NaN,NaN,NaN,37.7,NaN,NaN
NaN,NaN,NaN,30.4,NaN,NaN
NaN,NaN,NaN,26.6,NaN,NaN
NaN,NaN,NaN,30.1,NaN,NaN
NaN,NaN,NaN,28.4,NaN,NaN
NaN,NaN,NaN,23.5,NaN,NaN
NaN,NaN,NaN,28,NaN,NaN
NaN,NaN,NaN,28.4,NaN,NaN
NaN,NaN,NaN,34.5,NaN,NaN
NaN,NaN,33.8,NaN,NaN,NaN
NaN,NaN,29.9,NaN,NaN,NaN
NaN,NaN,NaN,28,56,NaN
NaN,NaN,NaN,30.9,61.7,NaN
NaN,NaN,22.1,NaN,NaN,NaN
NaN,NaN,30.2,NaN,NaN,NaN
NaN,NaN,27.4,NaN,NaN,NaN
NaN,71.8,46.1,NaN,NaN,NaN
57.3,40,19.5,NaN,NaN,NaN
NaN,NaN,NaN,24.1,48.3,72.4
NaN,NaN,NaN,80.1,NaN,NaN
NaN,NaN,25,NaN,NaN,NaN
NaN,NaN,67,NaN,NaN,NaN
NaN,NaN,43.7,NaN,NaN,NaN
NaN,NaN,36.5,NaN,NaN,NaN
NaN,NaN,38.6,NaN,NaN,NaN
NaN,NaN,53.9,NaN,NaN,NaN
NaN,81.1,59.3,NaN,NaN,NaN
NaN,NaN,NaN,23.1,46.3,69.4
NaN,NaN,NaN,19.7,NaN,NaN
NaN,NaN,28.3,NaN,NaN,NaN
NaN,NaN,28.3,NaN,NaN,NaN
NaN,56,28,NaN,NaN,NaN
74.4,54.7,28.7,NaN,NaN,NaN
NaN,40.6,23.7,NaN,NaN,NaN
NaN,NaN,NaN,28.5,57,NaN
NaN,NaN,NaN,24,NaN,NaN
NaN,NaN,NaN,32.3,55.6,NaN
NaN,NaN,NaN,37.2,NaN,NaN
NaN,NaN,33.4,NaN,NaN,NaN
NaN,NaN,33.5,NaN,NaN,NaN
NaN,NaN,67,NaN,NaN,NaN
NaN,NaN,45,NaN,NaN,NaN
NaN,51.1,25.5,NaN,NaN,NaN
NaN,48,24,NaN,NaN,NaN
NaN,NaN,NaN,32.5,NaN,NaN
NaN,50,25,NaN,NaN,NaN
NaN,62.7,31.7,29.2,NaN,NaN
NaN,53.9,27,27,53.9,NaN
NaN,NaN,NaN,25.5,48.5,NaN
NaN,NaN,NaN,26.2,NaN,NaN
NaN,NaN,26.9,NaN,NaN,NaN
NaN,NaN,NaN,25,58.6,70
NaN,NaN,NaN,22.1,NaN,NaN
NaN,NaN,NaN,23.8,NaN,NaN
NaN,NaN,38.6,NaN,NaN,NaN
NaN,NaN,NaN,25.6,NaN,NaN
NaN,NaN,NaN,26.6,NaN,NaN
NaN,NaN,NaN,25.1,NaN,NaN
NaN,NaN,39.7,NaN,NaN,NaN
NaN,NaN,36.5,NaN,NaN,NaN
NaN,82.1,58.9,NaN,NaN,NaN
NaN,NaN,30.3,NaN,NaN,NaN
NaN,NaN,NaN,36.4,NaN,NaN
