Number,Name,Formula,MW,ref,Valence,Mobility,pKa,deltaH,deltaCp,Valence,Mobility,pKa,deltaH,deltaCp,Valence,Mobility,pKa,deltaH,deltaCp,
47,ETHYLAMINE,C2H7N,45.08,"c (E3, p.79)",1,4.89E-08,10.63,57362,,,,,,,,,,,,
48,FORMIC ACID,CH2O2,46.03,"c (F6, p.88)",-1,5.66E-08,3.752,-335,,,,,,,,,,,,
49,GALLIC ACID,C7H6O5,170.12,"c (B157, p.55)",-1,3.44E-08,4.404,3067,,,,,,,,,,,,
50,GLUCOSE,C6H12O6,180.16,"c (G3, p.91)",-1,3.00E-08,12.28,36694,,,,,,,,,,,,
51,GLUTAMIC ACID,C5H9NO4,147.13,"c (G9, p.92)",1,2.76E-08,2.162,-267,,-1,2.74E-08,4.272,1561,,-2,5.43E-08,9.51,40584,,
52,GLUTAMINE,C5N10N2O3,146.14,"c (G12, p.92)",1,2.81E-08,2.15,3431,,-1,2.88E-08,9.412,40459,,,,,,,
53,GLYCINE,C2H5NO2,75.067,g,1,3.95E-08,2.351,4000,-139,-1,3.74E-08,9.78,44200,-57,,,,,,
54,GLYCOLIC ACID,C2H4O3,76.05,"c (A16, p.6)",-1,4.24E-08,3.831,628,,,,,,,,,,,,
55,HEPES,C8H18N2O4S,238.3012,g,-1,2.35E-08,7.564,20400,47,,,,,,,,,,,
56,HISTIDINE,C6H9N3O2,155.15,g,2,4.47E-08,1.5,3600,,1,2.88E-08,6.07,29500,176,-1,2.83E-08,9.34,43800,-233,
57,HYDROCHLORIC ACID,HCl,36.46,"c (H34, p.106)",-1,7.91E-08,-2,55815,,,,,,,,,,,,
58,HYDROGEN SULFIDE,H2S,34.08,"c (H38, p.107)",-1,6.74E-08,6.96,22175,,,,,,,,,,,,
59,IMIDAZOLE,C3H4N2,68.077,g,1,5.20E-08,6.993,36640,-9,,,,,,,,,,,
60,ISOBUTYRIC ACID,C4H8O2,88.11,"c (P174, p.164)",-1,3.44E-08,4.8486,3343,,,,,,,,,,,,
61,ISOCAPROIC ACID,C6H12O2,116.158,"c (P22, p.22)",-1,3.03E-08,4.845,-2552,,,,,,,,,,,,
62,ISOLEUCINE,C6H13NO2,131.17,"c (P18, p.134)",1,2.83E-08,2.32,1259,,-1,2.67E-08,9.758,45312,,,,,,,
63,ISOVALERIC ACID,C5H10O2,102.13,"c (B223, p.64)",-1,3.21E-08,4.781,-5100,,,,,,,,,,,,
64,TARTARIC ACID,C4H6O6,150.09,g,-1,3.26E-08,3.036,3190,-147,-2,6.07E-08,4.366,930,-218,,,,,,
65,LACTIC ACID,C3H6O3,90.08,"c (P168, p.164)",-1,3.65E-08,3.858,-427,,,,,,,,,,,,
67,LEUCINE,C6H13NO2,131.17,"c (L1, p.113)",1,2.76E-08,2.348,35982,,-1,2.63E-08,9.744,45606,,,,,,,
68,LYSINE,C6H14O2N2,146.19,"c (L4, p.113)",2,5.93E-08,2.18,1255,,1,2.76E-08,9.116,44685,,-1,2.64E-08,10.55,48702,,
69,MAGNESIUM,Mg,24.305,s,2,5.50E-07,11.4,,,1,2.75E-07,12.2,,,,,,,,
70,maleic acid,C4H4O4,116.07,g,-1,4.13E-08,1.92,1100,-21,-2,6.23E-08,6.27,-3600,-31,,,,,,
71,MALIC ACID,C4H6O5,134.09,"c (S20, p.190)",-1,3.26E-08,3.458,2954,,-2,5.90E-08,5.097,1180,,,,,,,
72,MALONIC ACID,C3H4O4,104.06,"c (M6, p.116)",-1,4.07E-08,2.826,1213,,-2,6.70E-08,5.06,-2008,,,,,,,
73,M-CHLOROPHENOL,C6H5ClO,128.56,"c (P50, p.143)",-1,3.34E-08,8.487,17824,,,,,,,,,,,,
74,MES,C6H13NO4S,195.24,g,-1,2.80E-08,6.27,14800,5,,,,,,,,,,,
75,METHYLAMINE,CH5,31.057,g,1,6.04E-08,10.645,55340,33,,,,,,,,,,,
76,MOPS,C7H15NO4S,209.2633,g,-1,2.69E-08,7.184,21100,25,,,,,,,,,,,
77,MORPHOLINE,C4H9NO,87.12,"c (M33, p.121)",1,4.13E-08,8.492,39037,,,,,,,,,,,,
78,NICOTINIC ACID,C6H5NO2,123.109,"c (P299, p.181)",-1,3.46E-08,5.29,10376,,,,,,,,,,,,
79,NITROUS ACID,HNO2,47.013,"c (N33, p.127)",-1,7.46E-08,3.148,10460,,,,,,,,,,,,
80,O-AMINOBENZOIC ACID,C7H7NO2,137.14,"c (B103, p.44)",-1,3.16E-08,4.79,11673,,,,,,,,,,,,
81,oxalic acid,C2H2O4,90.036,g,-1,4.24E-08,1.27,-3900,-231,-2,7.70E-08,4.266,7000,-231,,,,,,
82,P-AMINOBENZOIC ACID,C7H7NO2,137.14,"c (B104, p.45)",-1,3.16E-08,4.79,17447,,,,,,,,,,,,
83,PHENOL,C6H6O,94.11,"c (P44, p.141)",-1,3.44E-08,9.979,23640,,,,,,,,,,,,
84,phosphoric acid,H3PO4,98,g,-1,3.46E-08,2.148,-8000,-141,-2,6.14E-08,7.198,3600,-230,-3,7.15E-08,12.35,16000,-242,
85,phthalic acid,C8H6O4,166.13,g,-1,2.81E-08,2.95,-2700,-91,-2,5.29E-08,5.408,-2170,-295,,,,,,
86,P-NITROPHENOL,C6H5NO3,139.11,"c (P78, p.146)",-1,3.34E-08,7.18,19748,,,,,,,,,,,,
87,POTASSIUM,KOH,56.1056,s,1,7.62E-08,13,,,,,,,,,,,,,
88,PROLINE,C5H9NO2,115.13,"c (P127, p.155)",1,3.11E-08,1.952,1431,,-1,2.69E-08,10.64,43137,,,,,,,
89,PYRIDINE,C5H5N,79.1,"c (P195, p.168)",1,3.00E-08,5.17,20062,,,,,,,,,,,,
90,SELENIOUS ACID,H2SeO3,128.97,"c (S4, p.187)",-1,4.12E-08,2.52,-3096,,-2,6.05E-08,8.39,11715,,,,,,,
91,SERINE,C3H7NO3,105.09,"c (S10, p.188)",1,3.20E-08,2.187,5523,,-1,3.36E-08,9.209,43304,,,,,,,
92,SODIUM,NaOH,39.997,s,1,5.19E-08,13.7,,,,,,,,,,,,,
93,SUBERIC ACID,C8H14O4,174.2,"c (O6, p.128)",-1,2.25E-08,4.512,-1632,,-2,4.72E-08,5.404,-2678,,,,,,,
94,succinic acid,C4H6O4,118.09,g,-1,3.30E-08,4.207,3000,-121,-2,6.09E-08,5.636,-500,-217,,,,,,
95,sulfuric acid,H2SO4,98.079,g,-2,8.29E-08,1.987,-22400,-258,,,,,,,,,,,
96,sulfurous acid,H2SO3,82.08,g,-1,5.18E-08,1.857,-17800,-272,-2,7.46E-08,7.172,-3650,-262,,,,,,
97,TAPS,C7H17NO6S,243.28,g,-1,2.50E-08,8.44,40400,15,,,,,,,,,,,
98,TARTARIC ACID,C4H6O6,150.087,"c (T1, p.193)",-1,3.26E-08,3.07,-3180,,-2,6.07E-08,4.366,992,,,,,,,
99,TRICINE,C6H13NO5,179.17,g,-1,3.00E-08,8.135,31370,-53,,,,,,,,,,,
100,TRIETHYLAMINE,C6H15N,101.19,g,1,3.56E-08,10.72,43130,151,,,,,,,,,,,
101,TRIMETHYLACETIC ACID,C5H10O2,102.132,"c (P166, p.163)",-1,3.18E-08,5.031,-3029,,,,,,,,,,,,
102,TRIMETHYLENEDIAMINE,C3H10N2,74.125,"c (P135, p.157)",2,7.50E-08,8.88,52844,,1,3.95E-08,10.62,58158,,,,,,,
103,TRIPROPYLAMINE,C9H21N,143.27,c (p.17),1,2.71E-08,10.66,43932,,,,,,,,,,,,
104,TRIS,C4H11NO3,121.14,g,1,2.95E-08,8.072,47450,-59,,,,,,,,,,,
105,VALERIC ACID,C5H10O2,102.132,"c (P15, p.133)",-1,3.16E-08,4.842,-2761,,,,,,,,,,,,
106,VALINE,C5H11NO2,117.15,"c (V1, p.206)",1,2.96E-08,2.286,335,,-1,2.84E-08,9.719,44894,,,,,,,
107,VANILLIC ACID,C8H8O4,168.14,"c (B139, p.51)",-1,2.71E-08,4.355,607,,,,,,,,,,,,
108,PERCHLORIC ACID,HCl04,100.46,"c (C8, p.68)",-1,6.98E-08,-1.58,-7531,,,,,,,,,,,,
